conversation_id,created_at,text,likes,replies,retweets,author.name,followers,following,author.public_metrics.tweet_count
1136673037439385605,2019-06-06 16:35:45+00:00,Strange but true. #LimitedEdition #NewCoke available now. #StrangerThings3 #GiftWithPurchase,23,3,1,Coca-Cola,3394784,57818,288338
1464307975074549771,2021-11-26 19:00:01+00:00,"This Nov. 30th is #GivingTuesday, and American Airlines would like to encourage our #AAdvantage members to donate their AAdvantage miles to one of four charitable categories. Visit the link below to learn more. #LetGoodTakeFlight",44,49,12,americanair,1651218,105214,2453371
1362442252073660419,2021-02-18 16:42:00+00:00,You can help those affected by the devastating winter weather that continues to impact the Central U.S. and beyond. Earn 10 miles for every dollar on @RedCross donations of $25 or more now through Feb. 28.,51,12,20,americanair,1651218,105214,2453371
1359539218511523849,2021-02-10 16:26:23+00:00,"#Shirley you can’t be serious! More winter weather is on the way, but we have options to help.",53,16,10,americanair,1651218,105214,2453371
1108947313706229760,2019-03-22 04:23:37+00:00,We :clapping_hands: got :clapping_hands: this :clapping_hands:! Remember to vote for us in Round 1 for #MarchAdness!,54,5,9,T-Mobile,1488892,12594,549747
1465712224614375429,2021-11-30 16:00:00+00:00,"#GivingTuesday is here. This year, American Airlines is asking #AAdvantage members to donate a portion of their AAdvantage miles to a variety of charitable categories. Donate at the link below today and learn how you can make a difference.   #GivingTuesday #LetGoodTakeFlight",65,49,11,americanair,1651186,105213,2453371
1189619343069339648,2019-10-30 19:05:28+00:00,We’re thinking of our friends in California and those affected by the #wildfires.,104,43,17,americanair,1651218,105214,2453370
1122168573693132800,2019-04-27 16:00:11+00:00,Where did you get all our secrets @BuzzFeed? :eyes:,115,5,29,Target,2163167,2598,98187
1135930031547404288,2019-06-04 15:23:18+00:00,Our customers continue to be the happiest in wireless over @verizon and @att! :raising_hands: Kind of makes you wonder how people settle for less... :thinking_face:,132,29,23,T-Mobile,1488936,12594,549747
1086026795726618625,2019-01-17 22:25:40+00:00,We can't decide! #HaveACokeAndA,133,39,21,Coca-Cola,3394784,57818,288338
1411726461246087170,2021-07-04 16:39:51+00:00,"When you grill with family, friends, and ice-cold Coke do you call it:",141,41,16,Coca-Cola,3394725,57819,288338
1217099049423294465,2020-01-14 15:00:00+00:00,Live life with your head out the window :dog_face:  Go to the app for the chance to win FREE fuel for a year from @Shell_OnTheRoad and #TMobileTuesdays.  :mobile_phone_with_arrow::,144,22,31,T-Mobile,1488887,12594,549747
1247237640379928579,2020-04-06 19:00:00+00:00,"For some, working from home has become the new norm. We prepared 7 pro WFH tips to set you up for success.  Which then begs the question... pants :jeans: or no pants :person_shrugging:? Cast your vote.",158,39,35,T-Mobile,1488887,12594,549747
1108454086972604417,2019-03-20 19:43:43+00:00,Phone booths have sadly gone the way of time travel.,191,13,26,T-Mobile,1488892,12594,549747
1142135828707205122,2019-06-21 18:22:56+00:00,"We didn't know if we would get here, but we made it. ",202,9,11,Target,2163187,2598,98187
1201516373849116672,2019-12-02 15:00:01+00:00,You’d be amazed how far kindness and a Coke can go. #MotivationMonday,207,31,50,Coca-Cola,3394784,57818,288338
1220073649002164224,2020-01-22 20:00:00+00:00,When was the last time you took a selfie... with your rearview camera?  Can you even still do it?,212,81,25,T-Mobile,1488887,12594,549747
1354504449839017988,2021-01-27 19:00:00+00:00,"Pssst, hey @SlackHQ, we think you need a “grabbing a Coca-Cola” status…",225,59,16,Coca-Cola,3394725,57819,288338
1399372675433312262,2021-05-31 14:30:19+00:00,"This #MemorialDay, we pause to remember those who have sacrificed their lives for our freedom, and we honor their families who have endured such a tremendous loss. That loss is felt by a part of our #AATeam who are also Gold Star Family members. ",227,30,25,americanair,1651218,105214,2453371
1416047321587064835,2021-07-16 14:49:25+00:00,We lost @tonesandimusic :grinning_face_with_sweat:,227,13,13,Spotify,6153160,17720,38736
1445418509572444164,2021-10-05 16:00:01+00:00,*looks at internet bill*   Literally Everyone:  What the @#$^&amp; are all these fees?!  Us: Say no more.  Home Internet without all the extra fees. Just $50/mo with autopay. Nothing more.,231,98,44,T-Mobile,1488940,12594,549747
1209549334120845312,2019-12-24 19:00:08+00:00,A penny saved is a penny earned. $5 saved is_________?,232,70,26,T-Mobile,1488892,12594,549747
1134141301568368640,2019-05-30 16:55:32+00:00,Tired of paying for things you want?,243,3,42,T-Mobile,1488936,12594,549747
1390400786958471169,2021-05-06 20:19:14+00:00,Is it hot in here or is it just #Ozuna with #Tiempo :fire:,260,15,11,Spotify,6153163,17720,38736
